,gene_name,ribosomal_subunit
ENSG00000000003,TSPAN6,False
ENSG00000000005,TNMD,False
ENSG00000000419,DPM1,False
ENSG00000000457,SCYL3,False
ENSG00000000460,C1orf112,False
ENSG00000000938,FGR,False
ENSG00000000971,CFH,False
ENSG00000001036,FUCA2,False
ENSG00000001084,GCLC,False
ENSG00000001167,NFYA,False
ENSG00000001460,STPG1,False
ENSG00000001461,NIPAL3,False
ENSG00000001497,LAS1L,False
ENSG00000001561,ENPP4,False
ENSG00000001617,SEMA3F,False
ENSG00000001626,CFTR,False
ENSG00000001629,ANKIB1,False
ENSG00000001630,CYP51A1,False
ENSG00000001631,KRIT1,False
ENSG00000002016,RAD52,False
ENSG00000002330,BAD,False
ENSG00000002549,LAP3,False
ENSG00000002586,CD99,False
ENSG00000002587,HS3ST1,False
ENSG00000002726,AOC1,False
ENSG00000002746,HECW1,False
ENSG00000002822,MAD1L1,False
ENSG00000002834,LASP1,False
ENSG00000002919,SNX11,False
ENSG00000002933,TMEM176A,False
ENSG00000003056,M6PR,False
ENSG00000003096,KLHL13,False
ENSG00000003137,CYP26B1,False
ENSG00000003147,ICA1,False
ENSG00000003249,DBNDD1,False
ENSG00000003393,ALS2,False
ENSG00000003400,CASP10,False
ENSG00000003402,CFLAR,False
ENSG00000003436,TFPI,False
ENSG00000003509,NDUFAF7,False
ENSG00000003756,RBM5,False
ENSG00000003987,MTMR7,False
ENSG00000003989,SLC7A2,False
ENSG00000004059,ARF5,False
ENSG00000004139,SARM1,False
ENSG00000004142,POLDIP2,False
ENSG00000004399,PLXND1,False
ENSG00000004455,AK2,False
ENSG00000004468,CD38,False
ENSG00000004478,FKBP4,False
ENSG00000004487,KDM1A,False
ENSG00000004534,RBM6,False
ENSG00000004660,CAMKK1,False
ENSG00000004700,RECQL,False
ENSG00000004766,CCDC132,False
ENSG00000004776,HSPB6,False
ENSG00000004777,ARHGAP33,False
ENSG00000004779,NDUFAB1,False
ENSG00000004799,PDK4,False
ENSG00000004809,SLC22A16,False
ENSG00000004838,ZMYND10,False
ENSG00000004846,ABCB5,False
ENSG00000004848,ARX,False
ENSG00000004864,SLC25A13,False
ENSG00000004866,ST7,False
ENSG00000004897,CDC27,False
ENSG00000004939,SLC4A1,False
ENSG00000004948,CALCR,False
ENSG00000004961,HCCS,False
ENSG00000004975,DVL2,False
ENSG00000005001,PRSS22,False
ENSG00000005007,UPF1,False
ENSG00000005020,SKAP2,False
ENSG00000005022,SLC25A5,False
ENSG00000005059,CCDC109B,False
ENSG00000005073,HOXA11,False
ENSG00000005075,POLR2J,False
ENSG00000005100,DHX33,False
ENSG00000005102,MEOX1,False
ENSG00000005108,THSD7A,False
ENSG00000005156,LIG3,False
ENSG00000005175,RPAP3,False
ENSG00000005187,ACSM3,False
ENSG00000005189,AC004381.6,False
